"","conglome","vivienda","hogar","district","male","age","ccdd","ccpp","ccdi","hid","hhmem","lhhmem","kids","k_hhmem","infants","children","adults","ces","depprov","hconsump","hconsumplm","hhequiv","lhhequiv","lhhconsplm","CAST","QUE","AYM","near_x","near_y","cusco","pothuan_mita","border","d_bnd","bfe4_1","bfe4_2","bfe4_3","elv_sh","slope","near_dist","dpot","lat","lon","dbnd_sh","dbnd_sh2","dbnd_sh3","dbnd_sh4","x","y"
"1"," 174"," 36","11",30101,"male",34,3,1,1," 174 3611",4,1.3862943649292,2,0.5,1,1,2,2.90000009536743,301,12674,13357.8994140625,4606.171875,8.43515205383301,9.49986362457275,1,0,0,726782.375,8486169,0,0,1,6.0927472114563,0,0,1,3.31417,13.9305,1017481.6875,10.1748170852661,13.6338901519775,72.8813934326172,0.0609274730086327,0.00371215702034533,0.000226172342081554,1.37801089294953e-05,0.544830322265625,-0.768115997314453
"2"," 176"," 53","11",30101,"female",60,3,1,1," 176 5311",3,1.0986123085022,1,0.333333343267441,1,0,2,2.40000009536743,301,1401,1476.59912109375,615.249633789062,6.42202806472778,7.2974967956543,0,1,0,726782.375,8486169,0,0,1,6.0927472114563,0,0,1,3.31417,13.9305,1017481.6875,10.1748170852661,13.6338901519775,72.8813934326172,0.0609274730086327,0.00371215702034533,0.000226172342081554,1.37801089294953e-05,0.544830322265625,-0.768115997314453
"3"," 168","130","11",30101,"male",45,3,1,1," 16813011",6,1.7917594909668,0,0,0,0,6,6,301,5167,5445.8154296875,907.635925292969,6.8108434677124,8.6026029586792,1,0,0,726782.375,8486169,0,0,1,6.0927472114563,0,0,1,3.31417,13.9305,1017481.6875,10.1748170852661,13.6338901519775,72.8813934326172,0.0609274730086327,0.00371215702034533,0.000226172342081554,1.37801089294953e-05,0.544830322265625,-0.768115997314453
"4"," 174"," 14","11",30101,"male",35,3,1,1," 174 1411",4,1.3862943649292,2,0.5,1,1,2,2.90000009536743,301,5127,5403.6572265625,1863.32995605469,7.53012037277222,8.5948314666748,1,0,0,726782.375,8486169,0,0,1,6.0927472114563,0,0,1,3.31417,13.9305,1017481.6875,10.1748170852661,13.6338901519775,72.8813934326172,0.0609274730086327,0.00371215702034533,0.000226172342081554,1.37801089294953e-05,0.544830322265625,-0.768115997314453
"5"," 173"," 68","11",30101,"female",46,3,1,1," 173 6811",3,1.0986123085022,0,0,0,0,3,3,301,2737,2884.69067382812,961.563537597656,6.86856079101562,7.96717309951782,1,0,0,726782.375,8486169,0,0,1,6.0927472114563,0,0,1,3.31417,13.9305,1017481.6875,10.1748170852661,13.6338901519775,72.8813934326172,0.0609274730086327,0.00371215702034533,0.000226172342081554,1.37801089294953e-05,0.544830322265625,-0.768115997314453
"6"," 172"," 28","11",30101,"male",39,3,1,1," 172 2811",4,1.3862943649292,2,0.5,0,2,2,3,301,3368,3549.73999023438,1183.24670410156,7.07601737976074,8.17462921142578,1,0,0,726782.375,8486169,0,0,1,6.0927472114563,0,0,1,3.31417,13.9305,1017481.6875,10.1748170852661,13.6338901519775,72.8813934326172,0.0609274730086327,0.00371215702034533,0.000226172342081554,1.37801089294953e-05,0.544830322265625,-0.768115997314453
"7"," 173"," 32","11",30101,"male",54,3,1,1," 173 3211",5,1.60943794250488,0,0,0,0,5,5,301,4059,4278.02685546875,855.605346679688,6.75180912017822,8.3612470626831,1,0,0,726782.375,8486169,0,0,1,6.0927472114563,0,0,1,3.31417,13.9305,1017481.6875,10.1748170852661,13.6338901519775,72.8813934326172,0.0609274730086327,0.00371215702034533,0.000226172342081554,1.37801089294953e-05,0.544830322265625,-0.768115997314453
"8"," 169"," 45","11",30101,"male",49,3,1,1," 169 4511",7,1.94591009616852,3,0.428571432828903,0,3,4,5.5,301,5533,5831.5654296875,1060.28466796875,6.96629285812378,8.67104053497314,1,0,0,726782.375,8486169,0,0,1,6.0927472114563,0,0,1,3.31417,13.9305,1017481.6875,10.1748170852661,13.6338901519775,72.8813934326172,0.0609274730086327,0.00371215702034533,0.000226172342081554,1.37801089294953e-05,0.544830322265625,-0.768115997314453
"9"," 175"," 27","11",30101,"male",38,3,1,1," 175 2711",4,1.3862943649292,2,0.5,0,2,2,3,301,818,862.139953613281,287.379974365234,5.66080522537231,6.75941753387451,1,0,0,726782.375,8486169,0,0,1,6.0927472114563,0,0,1,3.31417,13.9305,1017481.6875,10.1748170852661,13.6338901519775,72.8813934326172,0.0609274730086327,0.00371215702034533,0.000226172342081554,1.37801089294953e-05,0.544830322265625,-0.768115997314453
"10"," 173"," 57","11",30101,"female",69,3,1,1," 173 5711",1,0,0,0,0,0,1,1,301,826,870.571655273438,870.571655273438,6.7691502571106,6.7691502571106,1,0,0,726782.375,8486169,0,0,1,6.0927472114563,0,0,1,3.31417,13.9305,1017481.6875,10.1748170852661,13.6338901519775,72.8813934326172,0.0609274730086327,0.00371215702034533,0.000226172342081554,1.37801089294953e-05,0.544830322265625,-0.768115997314453
"11"," 168"," 14","11",30101,"male",50,3,1,1," 168 1411",13,2.56494927406311,6,0.461538463830948,2,4,7,9.80000019073486,301,5581,5882.1552734375,600.219909667969,6.39729595184326,8.67967891693115,1,0,0,726782.375,8486169,0,0,1,6.0927472114563,0,0,1,3.31417,13.9305,1017481.6875,10.1748170852661,13.6338901519775,72.8813934326172,0.0609274730086327,0.00371215702034533,0.000226172342081554,1.37801089294953e-05,0.544830322265625,-0.768115997314453
"12"," 176"," 22","11",30101,"male",71,3,1,1," 176 2211",6,1.7917594909668,2,0.333333343267441,1,1,4,4.90000009536743,301,2221,2340.84692382812,477.723846435547,6.16903305053711,7.75826787948608,0,1,0,726782.375,8486169,0,0,1,6.0927472114563,0,0,1,3.31417,13.9305,1017481.6875,10.1748170852661,13.6338901519775,72.8813934326172,0.0609274730086327,0.00371215702034533,0.000226172342081554,1.37801089294953e-05,0.544830322265625,-0.768115997314453
